criticidad,estado,nombre_spend,nombre_leads,spend,impresiones,clicks,leads_total,leads_hmt,leads_web,leads_lfr,spend_desde,spend_hasta,accion
OK,Solo leads (organico/directo),,col-sellers-paid-performance-leadform-tiktok-leads-smart-national-lfr-co,0,0,0,6,0,0,6,,,-
OK,Solo leads (organico/directo),,fb_Habi_Triada_Convertionweb_Nacional_Testing_Ao,0,0,0,1023,0,1023,0,,,-
OK,Solo leads (organico/directo),,hab-col-hmt-org-sac-mur-fac-otr-oto-nal,0,0,0,53,53,0,0,,,-
OK,Match exacto,hab-col-hmt-pai-per-clg-bga-otr-oto-nal-2,hab-col-hmt-pai-per-clg-bga-otr-oto-nal-2,20282,27609668,259276,1494,1494,0,0,2025-01-09,2026-05-12,-
OK,Match exacto,hab-col-hmt-pai-per-clg-mta-mtr-oto-nal-rgt,hab-col-hmt-pai-per-clg-mta-mtr-oto-nal-rgt,30190,20684229,163557,9784,9782,2,0,2024-12-16,2026-05-11,-
OK,Match exacto,hab-col-hmt-pai-per-web-gga-gwg-gpm-bog,hab-col-hmt-pai-per-web-gga-gwg-gpm-bog,136726,70899017,1284706,86973,86308,665,0,2024-01-01,2026-05-11,-
OK,Match exacto,hab-col-hmt-pai-per-web-gga-gwg-gpm-nal,hab-col-hmt-pai-per-web-gga-gwg-gpm-nal,18894,5825180,187879,11243,11110,133,0,2024-03-12,2024-10-08,-
OK,Match exacto,hab-col-hmt-pai-per-web-gga-gwg-gsr-bog,hab-col-hmt-pai-per-web-gga-gwg-gsr-bog,10934,267130,40083,8127,8127,0,0,2024-01-01,2024-09-23,-
OK,Match exacto,hab-col-hmt-pai-per-web-gga-gwg-gsr-nal,hab-col-hmt-pai-per-web-gga-gwg-gsr-nal,124170,1272640,284887,43362,43350,12,0,2024-01-01,2026-05-11,-
OK,Solo leads (organico/directo),,hab-col-sel-org-bra-lnk-ins-otr-oto-nal,0,0,0,2318,0,2318,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-bra-lnk-tik-otr-oto-nal,0,0,0,137,0,137,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-bra-mur-fac-otr-meo-nal-,0,0,0,6,0,6,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-bra-mur-fac-otr-meo-nal-bnd,0,0,0,111,0,111,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-ibx-fac-otr-bot,0,0,0,643,0,643,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-ibx-fac-otr-oto-nal,0,0,0,161,0,161,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-mur-fac-otr-oto-nal,0,0,0,630,0,630,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-rad-cop-fac-otr-oto-nal,0,0,0,43,0,43,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-rad-cop-fac-otr-oto-nal/agentesac,0,0,0,174,0,174,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-zdk-bot-otr-oto-nal,0,0,0,3154,76,3078,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-zdk-mai-otr-oto-nal/agentesac,0,0,0,16,0,16,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-zdk-msp-ins-otr-oto-nal/agentesac,0,0,0,14,0,14,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-org-sac-zdk-was-otr-oto-nal/agentesac,0,0,0,417,28,389,0,,,-
OK,Match exacto,hab-col-sel-pai-bra-web-mta-maw-oto-nal-bnd,hab-col-sel-pai-bra-web-mta-maw-oto-nal-bnd,29568,118861015,203972,27,0,27,0,2024-07-02,2024-09-15,-
OK,Match exacto,hab-col-sel-pai-bra-web-mta-maw-oto-nal-tra,hab-col-sel-pai-bra-web-mta-maw-oto-nal-tra,8138,4071516,248111,6,0,6,0,2024-07-24,2024-09-14,-
OK,Match exacto,hab-col-sel-pai-per-lfr-ins-mld-oto-nal-,hab-col-sel-pai-per-lfr-ins-mld-oto-nal-,7736,2836985,16725,1478,0,0,1478,2024-11-19,2025-11-06,-
OK,Match exacto,hab-col-sel-pai-per-lfr-mta-mld-oto-bog,hab-col-sel-pai-per-lfr-mta-mld-oto-bog,1284,1135852,3346,334,0,0,334,2024-01-01,2024-01-18,-
OK,Match exacto,hab-col-sel-pai-per-lfr-mta-mld-oto-nal-avg,hab-col-sel-pai-per-lfr-mta-mld-oto-nal-avg,25394,11696306,109251,3723,0,0,3723,2024-11-20,2025-12-02,-
OK,Match exacto,hab-col-sel-pai-per-lfr-mta-mld-oto-nal-trd,hab-col-sel-pai-per-lfr-mta-mld-oto-nal-trd,3695,1098068,10475,577,0,0,577,2024-04-02,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-lfr-mta-mld-oto-prospecting,hab-col-sel-pai-per-lfr-mta-mld-oto-prospecting,43518,20386558,174282,6185,0,0,6185,2024-05-27,2025-11-13,-
OK,Match exacto,hab-col-sel-pai-per-lfr-mta-mld-oto-reels,hab-col-sel-pai-per-lfr-mta-mld-oto-reels,888,436164,1346,162,0,0,162,2024-03-01,2024-03-08,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-lfr-mta-mld-oto-rgt - Campaña2,0,0,0,33,0,0,33,,,-
OK,Match exacto,hab-col-sel-pai-per-lfr-mta-mld-oto-rgt-campana-2,hab-col-sel-pai-per-lfr-mta-mld-oto-rgt-campana-2,5030,1380454,17427,605,0,0,605,2026-04-06,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-lfr-mta-mld-oto-rgt,hab-col-sel-pai-per-lfr-mta-mld-oto-rgt,69714,22740098,246674,9737,0,0,9737,2024-06-11,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-mta-mld-oto-nal-msg,hab-col-sel-pai-per-mta-mld-oto-nal-msg,616,700701,4643,125,0,0,125,2024-01-10,2024-02-07,-
OK,Match exacto,hab-col-sel-pai-per-web-bga-bwc-gdi-nal,hab-col-sel-pai-per-web-bga-bwc-gdi-nal,22437,180605576,1088758,2010,0,2010,0,2024-01-01,2024-06-30,-
OK,Match exacto,hab-col-sel-pai-per-web-bga-bwc-gpm-nal-nbn,hab-col-sel-pai-per-web-bga-bwc-gpm-nal-nbn,912,16303,645,21,0,21,0,2024-01-18,2024-06-28,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-bga-bwc-gsr-bar-bnd,0,0,0,14,0,14,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-bga-bwc-gsr-bog-bnd,0,0,0,61,0,61,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-bga-bwc-gsr-bog-nbn,hab-col-sel-pai-per-web-bga-bwc-gsr-bog-nbn,5107,642259,7876,153,1,152,0,2024-01-01,2025-06-27,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-bga-bwc-gsr-cal-bnd,0,0,0,18,0,18,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-bga-bwc-gsr-car-bnd,0,0,0,8,0,8,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-bga-bwc-gsr-eje-bnd,0,0,0,6,0,6,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-bga-bwc-gsr-nal-brand,0,0,0,529,1,528,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-bga-bwc-gsr-nal-cpt,hab-col-sel-pai-per-web-bga-bwc-gsr-nal-cpt,2652,612586,2892,78,0,78,0,2024-01-01,2024-12-09,-
OK,Match exacto,hab-col-sel-pai-per-web-bga-bwc-gsr-nal-nbn,hab-col-sel-pai-per-web-bga-bwc-gsr-nal-nbn,30045,37594785,244708,2152,3,2149,0,2024-01-01,2025-06-28,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-bga-bwc-gsr-vda-bnd,0,0,0,18,0,18,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-bga-gwg-gdi-nal,hab-col-sel-pai-per-web-bga-gwg-gdi-nal,123518,381582640,3361503,12198,0,12198,0,2024-07-01,2026-05-12,-
OK,Match exacto,hab-col-sel-pai-per-web-bga-gwg-gpm-bog-nbn,hab-col-sel-pai-per-web-bga-gwg-gpm-bog-nbn,407,22454,369,23,0,23,0,2024-09-11,2025-06-27,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-bga-gwg-gpm-nal-nbn,0,0,0,13,0,13,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gdi-nal,hab-col-sel-pai-per-web-gga-gwg-gdi-nal,264475,160969383,1507736,18135,2,18132,1,2024-01-01,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gpm-bog-nbn,hab-col-sel-pai-per-web-gga-gwg-gpm-bog-nbn,262137,128226841,1210172,23267,677,22590,0,2024-01-01,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gpm-med-nbn,hab-col-sel-pai-per-web-gga-gwg-gpm-med-nbn,10900,1124342,19410,720,0,720,0,2026-03-09,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gpm-nal-nbn,hab-col-sel-pai-per-web-gga-gwg-gpm-nal-nbn,63656,21163551,256387,7129,233,6896,0,2024-01-01,2025-11-25,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-bar-bnd,hab-col-sel-pai-per-web-gga-gwg-gsr-bar-bnd,114,1682,552,116,0,116,0,2024-01-01,2024-05-28,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-bog-bnd,hab-col-sel-pai-per-web-gga-gwg-gsr-bog-bnd,89341,1454129,171479,20780,65,20715,0,2024-01-01,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-bog-cpt,hab-col-sel-pai-per-web-gga-gwg-gsr-bog-cpt,19406,1217868,36795,2201,0,2201,0,2024-01-01,2024-12-09,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-bog-nbn,hab-col-sel-pai-per-web-gga-gwg-gsr-bog-nbn,278667,7429544,345009,18186,63,18123,0,2024-01-01,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-cal-bnd,hab-col-sel-pai-per-web-gga-gwg-gsr-cal-bnd,343,13877,1856,147,0,147,0,2024-01-01,2024-05-28,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-car-bnd,hab-col-sel-pai-per-web-gga-gwg-gsr-car-bnd,508,6629,1375,125,0,125,0,2024-01-01,2024-05-27,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-nal-bnd,hab-col-sel-pai-per-web-gga-gwg-gsr-nal-bnd,8569,62688,29833,840,0,840,0,2024-01-01,2024-07-16,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-gga-gwg-gsr-nal-brand,0,0,0,3595,0,3595,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-nal-cpt,hab-col-sel-pai-per-web-gga-gwg-gsr-nal-cpt,2822,57218,6793,644,0,644,0,2024-01-01,2024-08-23,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-nal-nbn,hab-col-sel-pai-per-web-gga-gwg-gsr-nal-nbn,132408,4408871,181529,11312,8,11304,0,2024-01-01,2025-12-18,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gsr-vda-bnd,hab-col-sel-pai-per-web-gga-gwg-gsr-vda-bnd,1244,15683,2787,288,0,288,0,2024-01-01,2024-05-28,-
OK,Match exacto,hab-col-sel-pai-per-web-gga-gwg-gvi-nal-exp,hab-col-sel-pai-per-web-gga-gwg-gvi-nal-exp,8039,4957060,50695,16,0,16,0,2024-06-13,2024-08-12,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-barranquilla,hab-col-sel-pai-per-web-mta-mld-oto-barranquilla,16868,9729774,51019,1347,0,1347,0,2025-11-07,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-bog-lal,hab-col-sel-pai-per-web-mta-mld-oto-bog-lal,9910,10149049,25043,290,0,290,0,2024-01-01,2024-02-22,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-bog-rgt,hab-col-sel-pai-per-web-mta-mld-oto-bog-rgt,17998,14861494,77916,107,0,107,0,2024-02-01,2024-06-22,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-cali,hab-col-sel-pai-per-web-mta-mld-oto-cali,16562,9323942,57695,1403,0,1403,0,2025-11-07,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-med-test-ab1,hab-col-sel-pai-per-web-mta-mld-oto-med-test-ab1,2408,1052731,11776,127,0,127,0,2025-11-11,2025-12-31,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-med-test-ab2,hab-col-sel-pai-per-web-mta-mld-oto-med-test-ab2,2196,887226,10489,164,0,164,0,2025-11-11,2025-12-24,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-BAU,hab-col-sel-pai-per-web-mta-mld-oto-nal-BAU,3078,1734686,11904,188,0,188,0,2025-07-31,2025-09-02,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-mta-mld-oto-nal-avw,0,0,0,7343,0,7343,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-avw-cpa,hab-col-sel-pai-per-web-mta-mld-oto-nal-avw-cpa,161238,119677017,824649,2835,0,2835,0,2024-07-18,2025-10-27,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-avw-v2.0,hab-col-sel-pai-per-web-mta-mld-oto-nal-avw-v2.0,293738,251391961,1656745,17919,0,17919,0,2024-05-21,2026-05-11,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-awo,hab-col-sel-pai-per-web-mta-mld-oto-nal-awo,51853,41128448,157174,5010,0,5010,0,2024-01-01,2024-06-21,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-cvlal,hab-col-sel-pai-per-web-mta-mld-oto-nal-cvlal,9476,8772095,45516,452,0,452,0,2024-10-24,2024-12-27,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal-25,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal-25,24811,25277487,100141,1525,0,1525,0,2025-01-08,2025-05-29,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal-mq,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal-mq,3551,3156106,12935,159,0,159,0,2024-09-10,2024-10-18,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal-v2.0,hab-col-sel-pai-per-web-mta-mld-oto-nal-lal-v2.0,38177,27586390,187222,2163,0,2163,0,2024-05-21,2024-11-27,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-rgt-new,hab-col-sel-pai-per-web-mta-mld-oto-nal-rgt-new,114448,63259500,588537,7624,0,7624,0,2024-10-22,2026-05-11,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-mta-mld-oto-nal-rgt-test-cr,0,0,0,5,0,5,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-rgt-v2.0,hab-col-sel-pai-per-web-mta-mld-oto-nal-rgt-v2.0,21298,15806121,123232,945,0,945,0,2024-05-21,2024-10-28,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-mta-mld-oto-nal-rmt,0,0,0,1853,0,1853,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-super-segmento,hab-col-sel-pai-per-web-mta-mld-oto-nal-super-segmento,20238,17672405,53629,418,0,418,0,2024-01-01,2024-06-22,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-tao,hab-col-sel-pai-per-web-mta-mld-oto-nal-tao,45237,38571722,129973,3621,0,3621,0,2024-01-01,2024-06-20,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-mld-oto-nal-trd,hab-col-sel-pai-per-web-mta-mld-oto-nal-trd,14501,10793762,91982,635,103,532,0,2024-01-01,2026-04-17,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-per-web-mta-otr-oto-nal-asc Campaña,0,0,0,56,0,56,0,,,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-otr-oto-nal-asc,hab-col-sel-pai-per-web-mta-otr-oto-nal-asc,44909,35408500,233301,1900,0,1900,0,2024-08-23,2024-12-26,-
OK,Match exacto,hab-col-sel-pai-per-web-mta-otr-oto-nal-gca,hab-col-sel-pai-per-web-mta-otr-oto-nal-gca,21141,18644688,139964,1122,0,1122,0,2025-02-10,2025-09-22,-
OK,Match exacto,hab-col-sel-pai-per-web-tka-tlg-oto-nal-2024,hab-col-sel-pai-per-web-tka-tlg-oto-nal-2024,1894,3349503,6692,82,0,82,0,2024-04-25,2024-07-11,-
OK,Match exacto,hab-col-sel-pai-per-web-tka-twc-oto-bog,hab-col-sel-pai-per-web-tka-twc-oto-bog,12206,15701729,40334,634,0,634,0,2024-02-02,2025-11-18,-
OK,Match exacto,hab-col-sel-pai-per-web-tka-twc-oto-nal-2024,hab-col-sel-pai-per-web-tka-twc-oto-nal-2024,1291,2377888,5932,105,0,105,0,2024-04-25,2024-07-11,-
OK,Match exacto,hab-col-sel-pai-per-web-tka-twc-oto-nal-cap-2.0,hab-col-sel-pai-per-web-tka-twc-oto-nal-cap-2.0,1638,2340072,4620,54,0,54,0,2024-07-25,2026-01-14,-
OK,Match exacto,hab-col-sel-pai-per-web-tka-twc-oto-nal-smart,hab-col-sel-pai-per-web-tka-twc-oto-nal-smart,14225,39733787,73916,841,0,841,0,2025-02-26,2026-05-10,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-web-bga-bwc-gdi-nal,0,0,0,7675,0,7675,0,,,-
OK,Solo leads (organico/directo),,hab-col-sel-pai-web-gga-gld-gdi-nal,0,0,0,4464,0,4464,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-como-calcular-metros-cuadrados-de-un-inmueble,0,0,0,72,72,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-cuanto-cuesta-el-metro-cuadrado-en-cali,0,0,0,309,309,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-cuanto-vale-mi-casa,0,0,0,96,96,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-donde-es-mas-barata-la-vivienda-en-colombia,0,0,0,237,237,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-habimetro-cuanto-cuesta-mi-casa,0,0,0,1469,1469,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-habimetro-por-cuanto-vender,0,0,0,82,82,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-mitos-calcular-el-avaluo-comercial-de-un-inmueble,0,0,0,225,225,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-precio-metro-cuadrado-medellin,0,0,0,244,244,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-que-es-propiedad-horizontal,0,0,0,22,22,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-que-es-un-metro-cuadrado,0,0,0,156,156,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-valor-metro-cuadrado-barranquilla,0,0,0,159,159,0,0,,,-
